iter	Passed	Remaining
0	16	4855
1	28	4236
2	39	3904
3	54	4052
4	65	3849
5	75	3704
6	85	3576
7	96	3514
8	107	3463
9	118	3448
10	130	3432
11	141	3395
12	151	3349
13	163	3336
14	174	3312
15	184	3275
16	194	3243
17	204	3204
18	214	3171
19	224	3147
20	235	3127
21	245	3099
22	255	3073
23	265	3050
24	275	3029
25	285	3010
26	295	2985
27	304	2962
28	314	2940
29	324	2923
30	335	2909
31	345	2897
32	356	2882
33	365	2860
34	375	2840
35	384	2822
36	394	2807
37	424	2927
38	448	3004
39	466	3031
40	481	3042
41	495	3041
42	508	3039
43	532	3097
44	544	3084
45	555	3065
46	566	3049
47	577	3032
48	589	3020
49	600	3003
50	611	2985
51	623	2974
52	634	2959
53	645	2938
54	656	2924
55	666	2905
56	677	2888
57	688	2873
58	699	2858
59	709	2839
60	720	2824
61	730	2805
62	740	2786
63	750	2767
64	760	2748
65	769	2729
66	779	2709
67	788	2691
68	798	2674
69	808	2657
70	817	2638
71	827	2619
72	836	2601
73	846	2584
74	855	2566
75	864	2547
76	873	2529
77	882	2511
78	891	2494
79	901	2478
80	910	2461
81	919	2444
82	928	2427
83	937	2410
84	946	2394
85	955	2378
86	964	2362
87	974	2347
88	983	2331
89	993	2317
90	1002	2302
91	1011	2287
92	1021	2274
93	1031	2259
94	1040	2244
95	1049	2230
96	1058	2215
97	1068	2201
98	1077	2188
99	1087	2175
100	1096	2160
101	1106	2147
102	1115	2133
103	1125	2120
104	1134	2107
105	1148	2102
106	1162	2097
107	1172	2084
108	1182	2072
109	1193	2060
110	1202	2048
111	1212	2035
112	1222	2022
113	1231	2009
114	1241	1997
115	1251	1985
116	1261	1973
117	1271	1961
118	1281	1949
119	1291	1936
120	1303	1927
121	1313	1915
122	1323	1904
123	1333	1892
124	1343	1880
125	1353	1868
126	1363	1856
127	1373	1845
128	1382	1833
129	1392	1820
130	1401	1807
131	1410	1795
132	1420	1783
133	1429	1771
134	1439	1759
135	1449	1748
136	1458	1735
137	1468	1724
138	1477	1711
139	1487	1699
140	1496	1687
141	1505	1674
142	1514	1662
143	1524	1651
144	1533	1639
145	1542	1627
146	1551	1615
147	1560	1603
148	1570	1591
149	1579	1579
150	1589	1568
151	1599	1557
152	1609	1546
153	1619	1535
154	1628	1523
155	1638	1512
156	1647	1500
157	1657	1489
158	1667	1478
159	1677	1467
160	1687	1456
161	1696	1445
162	1707	1434
163	1717	1424
164	1727	1413
165	1737	1402
166	1747	1391
167	1756	1380
168	1765	1368
169	1775	1358
170	1785	1346
171	1794	1335
172	1805	1325
173	1814	1314
174	1824	1303
175	1833	1291
176	1843	1280
177	1852	1269
178	1862	1258
179	1873	1248
180	1882	1237
181	1892	1226
182	1901	1216
183	1911	1204
184	1921	1194
185	1930	1183
186	1941	1173
187	1950	1162
188	1960	1151
189	1970	1140
190	1980	1129
191	1989	1118
192	1999	1108
193	2008	1097
194	2018	1086
195	2026	1075
196	2036	1064
197	2045	1053
198	2054	1042
199	2064	1032
200	2074	1021
201	2083	1011
202	2093	1000
203	2102	989
204	2111	978
205	2120	967
206	2130	957
207	2139	946
208	2148	935
209	2158	925
210	2167	914
211	2177	903
212	2185	892
213	2195	882
214	2204	871
215	2215	861
216	2225	851
217	2235	840
218	2244	830
219	2253	819
220	2263	809
221	2273	798
222	2284	788
223	2293	778
224	2307	769
225	2318	759
226	2326	748
227	2337	738
228	2348	728
229	2358	717
230	2369	707
231	2379	697
232	2388	686
233	2398	676
234	2407	665
235	2417	655
236	2427	645
237	2436	634
238	2446	624
239	2455	613
240	2466	603
241	2476	593
242	2486	583
243	2496	572
244	2505	562
245	2515	552
246	2524	541
247	2536	531
248	2546	521
249	2555	511
250	2565	500
251	2574	490
252	2583	479
253	2593	469
254	2602	459
255	2612	448
256	2620	438
257	2630	428
258	2639	417
259	2649	407
260	2658	397
261	2667	386
262	2676	376
263	2685	366
264	2695	356
265	2705	345
266	2714	335
267	2723	325
268	2733	314
269	2742	304
270	2752	294
271	2762	284
272	2772	274
273	2781	263
274	2791	253
275	2800	243
276	2810	233
277	2821	223
278	2830	213
279	2840	202
280	2849	192
281	2859	182
282	2869	172
283	2879	162
284	2888	152
285	2897	141
286	2906	131
287	2915	121
288	2924	111
289	2934	101
290	2945	91
291	2954	80
292	2964	70
293	2974	60
294	2984	50
295	2994	40
296	3004	30
297	3014	20
298	3025	10
299	3034	0
